account_id,seniority-group
5524,Old customers
2174,New customers
4141,Discovering customers
6182,New customers
5324,New customers
7446,Discovering customers
965,Old customers
6177,Experienced customers
4855,Experienced customers
5899,New customers
387,Old customers
2125,Discovering customers
8180,Discovering customers
2569,Old customers
2114,Old customers
9736,Old customers
4939,Old customers
6565,Experienced customers
2278,Old customers
9360,Old customers
5376,Old customers
1993,Old customers
4047,New customers
1409,Experienced customers
7892,Old customers
2404,Experienced customers
9422,Experienced customers
1966,Discovering customers
6864,New customers
3033,Experienced customers
5710,Old customers
7373,Old customers
8755,Experienced customers
10738,Discovering customers
4339,New customers
10755,Discovering customers
8595,New customers
2968,Experienced customers
8601,Experienced customers
503,Experienced customers
8430,Old customers
2139,Discovering customers
1371,New customers
9909,Old customers
7286,Experienced customers
6566,Old customers
8614,New customers
4114,Old customers
1331,Old customers
2225,New customers
9381,Experienced customers
6260,Old customers
10383,Experienced customers
7437,New customers
8375,New customers
6853,Experienced customers
3076,Old customers
1012,Experienced customers
6518,Experienced customers
4137,Discovering customers
8082,Experienced customers
1386,New customers
9369,New customers
4477,Discovering customers
1357,Experienced customers
1402,Old customers
6312,Experienced customers
8132,Experienced customers
1050,New customers
5846,Old customers
1859,Old customers
7503,Old customers
10401,Discovering customers
1618,Old customers
3332,Old customers
2261,Experienced customers
5346,Experienced customers
4119,Experienced customers
535,New customers
5268,Discovering customers
273,Discovering customers
4452,New customers
8504,New customers
771,New customers
11178,New customers
2230,New customers
7516,New customers
7247,Old customers
11100,Experienced customers
4646,Discovering customers
3037,Experienced customers
1473,Discovering customers
1016,New customers
4518,Experienced customers
9370,Experienced customers
8908,New customers
8373,Discovering customers
7533,Discovering customers
2683,Experienced customers
3629,Old customers
10991,Old customers
5077,Discovering customers
7431,Old customers
3267,New customers
999,Old customers
9215,Old customers
2286,Discovering customers
1592,New customers
367,Experienced customers
5234,Discovering customers
9862,Discovering customers
9805,Experienced customers
6205,New customers
8442,Discovering customers
7386,Experienced customers
7215,Experienced customers
1491,Experienced customers
11071,Experienced customers
3381,New customers
11051,New customers
8026,Discovering customers
433,Experienced customers
9597,New customers
5290,Discovering customers
1685,Experienced customers
5342,Old customers
9579,Experienced customers
7660,New customers
1461,Discovering customers
821,Old customers
11084,Discovering customers
8690,Experienced customers
2937,Discovering customers
9701,Experienced customers
9949,Old customers
10837,Old customers
3120,Discovering customers
5885,Old customers
4050,New customers
3830,New customers
7987,New customers
7798,Old customers
92,New customers
7055,Old customers
10240,Experienced customers
3025,Experienced customers
9283,Discovering customers
9970,Discovering customers
2730,Discovering customers
2795,Experienced customers
9260,Old customers
8182,New customers
10095,Experienced customers
8475,New customers
4370,Discovering customers
10573,Discovering customers
3712,Discovering customers
6637,Discovering customers
3152,New customers
5610,New customers
6460,Discovering customers
1349,New customers
1880,New customers
641,New customers
8717,Old customers
10314,Old customers
10854,New customers
10492,New customers
6935,Discovering customers
7698,New customers
3559,New customers
10562,Discovering customers
10796,New customers
2563,New customers
3518,Old customers
5823,New customers
3934,Discovering customers
6982,Experienced customers
6431,Experienced customers
9733,Old customers
5602,Experienced customers
7829,Discovering customers
1324,Experienced customers
326,Experienced customers
7224,Discovering customers
6999,New customers
9938,Discovering customers
6422,Experienced customers
3182,New customers
7300,New customers
10424,Discovering customers
8727,Discovering customers
2798,Old customers
1030,Discovering customers
624,Old customers
5176,Discovering customers
5552,Experienced customers
868,New customers
380,Old customers
2677,Experienced customers
6521,New customers
6927,Old customers
2877,Experienced customers
0,Experienced customers
1584,New customers
7264,New customers
6274,Discovering customers
1377,Discovering customers
454,Old customers
1755,New customers
2075,Discovering customers
4785,New customers
9076,Old customers
7079,Old customers
4653,Experienced customers
7375,Old customers
709,Old customers
460,Old customers
3726,New customers
6798,Experienced customers
5341,Old customers
1606,Experienced customers
9617,New customers
3233,Experienced customers
89,Discovering customers
2936,Discovering customers
9449,Discovering customers
7297,Discovering customers
11004,New customers
313,Discovering customers
9940,Old customers
10735,Discovering customers
9529,Discovering customers
6439,Old customers
7411,New customers
2176,Experienced customers
9265,Old customers
8867,Old customers
8932,Old customers
10236,Discovering customers
6340,Discovering customers
10089,Experienced customers
2227,Old customers
10992,Old customers
5304,Old customers
309,Old customers
3406,Old customers
2661,Experienced customers
3153,Discovering customers
10264,Old customers
1184,Experienced customers
4200,New customers
9396,Old customers
2387,Experienced customers
6690,Experienced customers
1225,New customers
9703,Old customers
291,Experienced customers
4557,Discovering customers
2379,Old customers
5726,New customers
3066,New customers
6336,New customers
10967,Experienced customers
2304,Discovering customers
3445,Experienced customers
7828,New customers
3762,Experienced customers
4391,Experienced customers
4669,Experienced customers
10144,Old customers
8652,Old customers
1672,New customers
8962,New customers
9974,Discovering customers
10983,Experienced customers
8148,Old customers
10102,New customers
4697,Experienced customers
9262,Experienced customers
7254,Discovering customers
4543,Old customers
4927,New customers
10451,Experienced customers
2926,Old customers
2874,Experienced customers
9738,Old customers
7119,Old customers
3924,New customers
5827,New customers
5596,Discovering customers
10812,New customers
1717,New customers
9491,Discovering customers
9274,Experienced customers
6609,Old customers
6963,New customers
4440,Discovering customers
1379,Experienced customers
10032,New customers
2826,Discovering customers
6320,Experienced customers
3050,Discovering customers
231,New customers
2392,Discovering customers
9478,Old customers
113,Discovering customers
1802,Experienced customers
520,Experienced customers
8275,New customers
9750,Experienced customers
2607,Old customers
7214,Experienced customers
5835,Experienced customers
3896,Discovering customers
10350,Experienced customers
7786,Experienced customers
2861,Experienced customers
663,Discovering customers
10675,Experienced customers
2521,Old customers
9592,Experienced customers
10151,Old customers
7381,Old customers
4099,Old customers
9560,Experienced customers
1150,Discovering customers
10172,Old customers
11191,Discovering customers
9707,Old customers
6245,Experienced customers
8234,Discovering customers
1411,Discovering customers
8553,Experienced customers
1826,New customers
8842,Old customers
11030,New customers
2579,Discovering customers
175,Old customers
9185,Discovering customers
11056,Old customers
9365,Old customers
6201,Discovering customers
2061,Experienced customers
6184,Old customers
6142,Discovering customers
4107,Discovering customers
7274,Old customers
9336,New customers
2958,New customers
933,Old customers
5837,Old customers
10704,Old customers
5125,Experienced customers
4432,Experienced customers
5955,Old customers
2928,Old customers
5680,New customers
10313,Old customers
2557,Discovering customers
1245,Old customers
1519,Experienced customers
10703,Old customers
1726,Experienced customers
4459,Old customers
1729,Discovering customers
1517,Experienced customers
2098,Old customers
9543,Discovering customers
6878,Old customers
3310,Old customers
2724,New customers
948,Experienced customers
6720,Discovering customers
6202,Old customers
2066,Old customers
9799,Experienced customers
8318,New customers
5642,Discovering customers
2669,New customers
455,Experienced customers
7683,New customers
3428,Discovering customers
7414,Old customers
6354,Old customers
798,Old customers
8213,Old customers
2488,Experienced customers
9999,Old customers
7617,Discovering customers
615,Experienced customers
2552,Discovering customers
194,New customers
3645,Old customers
8890,New customers
5049,Experienced customers
9973,Old customers
7301,Old customers
10882,Old customers
7030,Experienced customers
7422,Old customers
3523,Experienced customers
7106,New customers
6504,Discovering customers
5067,New customers
4216,Experienced customers
8581,Experienced customers
5929,New customers
3129,New customers
6528,New customers
1361,Experienced customers
6932,Experienced customers
7284,Discovering customers
1340,New customers
8746,New customers
5987,New customers
3767,Experienced customers
3725,Experienced customers
4324,Old customers
238,Experienced customers
6694,Discovering customers
498,New customers
9347,Experienced customers
9699,Discovering customers
10664,Discovering customers
5455,Discovering customers
456,Experienced customers
5012,Experienced customers
7495,Discovering customers
5029,Discovering customers
10642,Old customers
2106,New customers
10364,Discovering customers
5954,Discovering customers
1137,Discovering customers
2541,Experienced customers
1142,Discovering customers
2276,Experienced customers
2807,Experienced customers
6471,Discovering customers
6131,Discovering customers
6233,Old customers
4148,Old customers
4947,Old customers
3225,Experienced customers
7540,New customers
10648,Old customers
1992,New customers
7851,Discovering customers
8594,New customers
7059,New customers
2815,New customers
2416,New customers
7999,Experienced customers
9213,Old customers
9697,New customers
3916,Old customers
2021,Experienced customers
1581,Discovering customers
564,Old customers
6619,Old customers
9081,New customers
178,Experienced customers
916,New customers
5512,New customers
8970,Old customers
10581,Old customers
5300,Discovering customers
5154,Discovering customers
8346,Old customers
1676,Discovering customers
9286,Old customers
2426,Old customers
5172,Discovering customers
5562,Experienced customers
3436,New customers
3921,Old customers
3403,Old customers
22,Old customers
10965,Experienced customers
9426,Old customers
6605,Discovering customers
3136,Experienced customers
8737,New customers
11088,Experienced customers
716,New customers
466,Experienced customers
9135,Old customers
10623,Discovering customers
8151,Old customers
5140,Old customers
10160,Experienced customers
4945,Old customers
10584,Discovering customers
6071,Discovering customers
3386,Experienced customers
8939,Old customers
9925,Experienced customers
4320,Experienced customers
5389,Discovering customers
6036,New customers
182,Experienced customers
203,Experienced customers
11025,Experienced customers
10203,Experienced customers
4607,Discovering customers
3711,New customers
3696,New customers
2532,New customers
9214,Discovering customers
4943,Old customers
35,Old customers
2258,Old customers
4322,Discovering customers
713,New customers
4702,Old customers
3281,Discovering customers
702,Experienced customers
2004,Discovering customers
4769,New customers
4437,Experienced customers
8724,Experienced customers
10741,Experienced customers
1991,New customers
6931,New customers
11096,Discovering customers
304,Discovering customers
3665,Discovering customers
10591,Old customers
5036,Old customers
5547,Discovering customers
7822,Experienced customers
8541,New customers
10955,New customers
4368,Discovering customers
9671,New customers
2256,New customers
4279,New customers
5371,New customers
9240,New customers
9460,Experienced customers
9504,Discovering customers
8692,Old customers
448,Experienced customers
8314,Experienced customers
8420,Discovering customers
3174,Experienced customers
7685,Discovering customers
3179,Experienced customers
9780,Experienced customers
10681,New customers
10232,Discovering customers
4184,New customers
9120,Old customers
891,Discovering customers
10381,Experienced customers
3525,Old customers
6818,Old customers
3526,New customers
8181,Discovering customers
1029,Discovering customers
7369,Discovering customers
2574,Experienced customers
8159,New customers
1160,Discovering customers
10242,Discovering customers
5253,Discovering customers
5966,Old customers
5314,Experienced customers
5081,Discovering customers
5123,Experienced customers
5756,New customers
8036,New customers
9058,Old customers
5057,Discovering customers
254,New customers
4179,Discovering customers
3710,Old customers
7627,Old customers
4501,Discovering customers
6424,New customers
3075,Discovering customers
4992,Discovering customers
5252,Old customers
7444,Discovering customers
6919,Experienced customers
3537,Old customers
10277,Experienced customers
2453,Old customers
7972,Discovering customers
895,Old customers
1177,Experienced customers
7141,Old customers
7232,New customers
8477,Experienced customers
2457,Old customers
988,New customers
7930,Discovering customers
4587,Discovering customers
6682,Old customers
6222,Discovering customers
10299,Old customers
3083,Discovering customers
8953,Experienced customers
1503,Experienced customers
8650,Experienced customers
10862,Old customers
2782,Discovering customers
6941,Discovering customers
10972,New customers
10708,Discovering customers
6583,Experienced customers
3641,Experienced customers
10156,Experienced customers
4299,Old customers
3469,Old customers
5063,Old customers
10727,Discovering customers
9624,New customers
5156,New customers
4376,New customers
8923,Experienced customers
8461,New customers
6945,Experienced customers
944,Old customers
1907,Old customers
701,Discovering customers
3856,Old customers
4149,New customers
2131,Old customers
2942,Experienced customers
1173,Experienced customers
4381,Discovering customers
4611,Experienced customers
3376,Discovering customers
4679,New customers
10928,Discovering customers
4248,New customers
6728,Old customers
6661,Old customers
4725,New customers
3277,Old customers
5555,New customers
2564,New customers
946,Old customers
3867,Discovering customers
6940,Discovering customers
55,Old customers
7093,Discovering customers
5084,Discovering customers
1777,Old customers
8162,Old customers
10826,Old customers
8754,Experienced customers
1987,Discovering customers
11007,Experienced customers
7426,Discovering customers
9153,Discovering customers
10379,Discovering customers
9204,Old customers
3197,Discovering customers
2920,Old customers
6961,New customers
4673,Old customers
9937,New customers
8779,Experienced customers
9596,Discovering customers
2891,Discovering customers
4910,Old customers
75,Discovering customers
10120,Discovering customers
6327,Discovering customers
10142,Experienced customers
9826,Old customers
1501,Old customers
10767,New customers
7279,Discovering customers
7230,Old customers
143,Discovering customers
450,Discovering customers
9316,Discovering customers
6379,Experienced customers
9239,Discovering customers
8315,New customers
2868,Experienced customers
10888,Discovering customers
1277,New customers
9977,Discovering customers
10196,New customers
6384,New customers
8029,New customers
968,Discovering customers
6988,Old customers
4472,New customers
6991,Experienced customers
3336,Discovering customers
4301,Old customers
1940,Discovering customers
1272,Old customers
1388,Experienced customers
1044,Experienced customers
6969,Discovering customers
10479,Old customers
3619,Old customers
1715,Experienced customers
10159,Experienced customers
1463,New customers
5114,Old customers
4990,Experienced customers
4329,New customers
10936,Experienced customers
4692,Old customers
7212,New customers
6086,Discovering customers
437,New customers
11171,Discovering customers
11101,Experienced customers
5329,Discovering customers
610,Old customers
9384,Experienced customers
5956,Discovering customers
10430,Discovering customers
7875,New customers
7072,Experienced customers
6255,New customers
6516,Experienced customers
5564,Old customers
5682,Experienced customers
7458,Experienced customers
5237,New customers
7761,Discovering customers
5278,New customers
3560,Experienced customers
7235,Discovering customers
10548,New customers
2281,Discovering customers
4073,New customers
6974,New customers
7938,Discovering customers
7094,Discovering customers
3667,Experienced customers
7723,New customers
3870,Experienced customers
4012,Old customers
5909,Discovering customers
10470,Experienced customers
6488,New customers
10270,Discovering customers
6887,New customers
6406,Discovering customers
7573,Experienced customers
4508,New customers
221,Experienced customers
5331,Old customers
1911,Old customers
20,Discovering customers
8786,Experienced customers
10582,Experienced customers
1915,Discovering customers
8897,Experienced customers
2371,Experienced customers
4303,Old customers
6825,Experienced customers
1072,Discovering customers
4964,New customers
2461,Discovering customers
10736,Discovering customers
3194,New customers
10839,New customers
49,New customers
4290,New customers
10219,Experienced customers
4211,Old customers
1135,New customers
6299,Old customers
10846,New customers
347,Old customers
6543,Old customers
10446,Old customers
3479,Discovering customers
11075,Discovering customers
4442,Experienced customers
199,Experienced customers
6722,New customers
796,Old customers
3749,Experienced customers
8523,Discovering customers
310,Discovering customers
8629,Experienced customers
236,Experienced customers
9930,Discovering customers
3483,Experienced customers
4599,Discovering customers
7326,New customers
7352,Discovering customers
2350,Experienced customers
9145,Experienced customers
2964,Discovering customers
5585,Experienced customers
9687,New customers
3732,Experienced customers
6303,Discovering customers
11176,New customers
2986,New customers
7462,Old customers
3900,New customers
7034,Discovering customers
9493,Experienced customers
1143,Discovering customers
1,New customers
3855,Experienced customers
5536,Experienced customers
5989,Experienced customers
9499,Experienced customers
6768,Old customers
2150,Experienced customers
6646,New customers
4887,Discovering customers
8560,Old customers
3321,Experienced customers
11003,Discovering customers
10402,Experienced customers
9904,Experienced customers
6141,Experienced customers
5687,Old customers
10856,Experienced customers
5121,New customers
4186,Discovering customers
368,Old customers
3312,New customers
11121,Old customers
5332,Discovering customers
5848,New customers
10343,Old customers
5935,Old customers
2895,Discovering customers
10262,Experienced customers
7848,Experienced customers
9477,New customers
4856,Old customers
7186,New customers
5794,New customers
1456,Experienced customers
4877,New customers
425,Experienced customers
3007,Old customers
1031,Experienced customers
4297,New customers
807,New customers
9553,Old customers
4271,Old customers
4120,Discovering customers
2036,Experienced customers
115,Experienced customers
4259,Discovering customers
8687,Experienced customers
2447,Old customers
10140,Discovering customers
9353,New customers
3623,New customers
738,New customers
7631,Discovering customers
4789,Discovering customers
773,Experienced customers
10602,Experienced customers
1446,New customers
3270,Experienced customers
8443,New customers
9653,Old customers
8916,Discovering customers
8017,New customers
5830,Old customers
4597,Experienced customers
7023,Old customers
8086,Discovering customers
8825,Experienced customers
2930,Discovering customers
1928,Experienced customers
7108,Old customers
10925,New customers
9960,New customers
8800,Experienced customers
9224,Old customers
5519,Discovering customers
5046,New customers
7037,Discovering customers
905,Discovering customers
8624,Experienced customers
8945,Discovering customers
6445,Discovering customers
2727,Discovering customers
6404,Experienced customers
11074,New customers
10150,Discovering customers
1968,Discovering customers
6534,New customers
9485,New customers
7053,Experienced customers
4654,Discovering customers
9760,Experienced customers
1048,Discovering customers
10619,Old customers
9308,Experienced customers
10505,Discovering customers
8362,Discovering customers
2625,Discovering customers
4637,Experienced customers
9972,New customers
4483,Experienced customers
4487,Experienced customers
4988,New customers
8931,New customers
5871,Old customers
2008,New customers
3139,Discovering customers
10037,New customers
10673,Discovering customers
5303,New customers
538,New customers
7922,Old customers
5692,Old customers
4843,New customers
6383,New customers
1628,Discovering customers
1204,Experienced customers
3673,Discovering customers
760,Discovering customers
8957,Experienced customers
4128,Discovering customers
6810,Experienced customers
5386,Experienced customers
8700,Old customers
3202,Old customers
1328,New customers
8405,Discovering customers
6515,Discovering customers
2882,Old customers
7574,New customers
6387,New customers
5320,Experienced customers
5048,Experienced customers
8146,New customers
10031,Experienced customers
5748,Old customers
2134,Old customers
1523,New customers
9665,Experienced customers
4640,Old customers
3635,New customers
3547,Old customers
2456,Discovering customers
5633,New customers
7801,Discovering customers
10489,Discovering customers
7011,Old customers
2620,Experienced customers
3933,Old customers
10981,New customers
1734,Experienced customers
10995,Old customers
6357,Discovering customers
9209,Old customers
10286,New customers
2611,Old customers
1600,Discovering customers
3308,New customers
5407,Discovering customers
2166,Discovering customers
3955,New customers
6634,Discovering customers
3056,Discovering customers
5718,Discovering customers
6872,Discovering customers
8164,Discovering customers
4580,Discovering customers
9305,Experienced customers
453,New customers
8545,New customers
9850,Old customers
7378,Old customers
7646,New customers
1640,New customers
5184,New customers
8492,Discovering customers
11188,New customers
1212,Discovering customers
9097,Discovering customers
10473,Old customers
7962,Discovering customers
9984,Experienced customers
5527,Experienced customers
6374,Experienced customers
7453,Experienced customers
8952,Old customers
241,Experienced customers
8975,New customers
6119,Experienced customers
5236,Old customers
5723,New customers
1710,Experienced customers
1970,Old customers
5313,New customers
10634,New customers
7010,New customers
8562,Experienced customers
3158,Old customers
4436,Experienced customers
5287,New customers
2445,Experienced customers
6059,Experienced customers
4550,New customers
4240,Old customers
8911,Experienced customers
3706,Discovering customers
3628,Experienced customers
10175,Discovering customers
8985,Old customers
5204,Experienced customers
9220,Experienced customers
9888,New customers
5263,Experienced customers
1020,New customers
9503,Old customers
10613,New customers
67,Discovering customers
6019,New customers
5863,Experienced customers
3717,New customers
6730,Old customers
10749,Old customers
4998,New customers
6287,Discovering customers
5985,Old customers
4754,Discovering customers
4002,Discovering customers
8870,Old customers
966,Experienced customers
4767,New customers
9725,New customers
4475,Experienced customers
5740,Experienced customers
5731,Experienced customers
7290,Old customers
3846,Old customers
8104,Discovering customers
4507,Old customers
11013,Experienced customers
4491,Old customers
3759,Discovering customers
1162,Old customers
2055,New customers
10766,New customers
4415,Old customers
3005,New customers
2223,Old customers
4817,Old customers
2875,New customers
10536,New customers
11112,Old customers
3807,Old customers
9197,New customers
10832,Discovering customers
6421,Experienced customers
4207,Experienced customers
577,Discovering customers
10855,New customers
3081,Experienced customers
3535,New customers
247,Old customers
8707,Old customers
9523,Discovering customers
6072,Experienced customers
6295,Experienced customers
10914,Discovering customers
1509,Old customers
5577,New customers
7348,New customers
1127,New customers
1833,New customers
4944,Discovering customers
9080,Experienced customers
6466,New customers
9964,Discovering customers
4790,New customers
10245,Old customers
1109,Experienced customers
6001,Old customers
5538,Discovering customers
10552,Experienced customers
1545,Discovering customers
7409,Discovering customers
4444,New customers
146,Discovering customers
6271,New customers
10065,Discovering customers
4741,New customers
246,New customers
375,Experienced customers
1524,Experienced customers
10022,New customers
7451,New customers
11010,Discovering customers
