account_id,sweets-segment
5524,Sweets - Biggest consumer
2174,Sweets - Low consumer
4141,Sweets - Frequent consumer
6182,Sweets - Low consumer
5324,Sweets - Frequent consumer
7446,Sweets - Frequent consumer
965,Sweets - Biggest consumer
6177,Sweets - Low consumer
4855,Sweets - Low consumer
5899,Sweets - Low consumer
387,Sweets - Low consumer
2125,Sweets - Biggest consumer
8180,Sweets - Frequent consumer
2569,Sweets - Low consumer
2114,Sweets - Biggest consumer
9736,Sweets - Frequent consumer
4939,Sweets - Frequent consumer
6565,Sweets - Frequent consumer
2278,Sweets - Frequent consumer
9360,Sweets - Frequent consumer
5376,Sweets - Low consumer
1993,Non consumer
4047,Sweets - Frequent consumer
1409,Sweets - Frequent consumer
7892,Sweets - Frequent consumer
2404,Sweets - Frequent consumer
9422,Sweets - Frequent consumer
1966,Sweets - Biggest consumer
6864,Sweets - Low consumer
3033,Sweets - Frequent consumer
5710,Non consumer
7373,Sweets - Frequent consumer
8755,Sweets - Biggest consumer
10738,Sweets - Low consumer
4339,Sweets - Frequent consumer
10755,Sweets - Frequent consumer
8595,Non consumer
2968,Sweets - Biggest consumer
8601,Sweets - Biggest consumer
503,Non consumer
8430,Sweets - Low consumer
2139,Sweets - Low consumer
1371,Sweets - Frequent consumer
9909,Sweets - Frequent consumer
7286,Sweets - Frequent consumer
6566,Sweets - Frequent consumer
8614,Sweets - Biggest consumer
4114,Sweets - Biggest consumer
1331,Sweets - Low consumer
2225,Sweets - Frequent consumer
9381,Sweets - Frequent consumer
6260,Sweets - Biggest consumer
10383,Sweets - Biggest consumer
7437,Sweets - Low consumer
8375,Non consumer
6853,Sweets - Frequent consumer
3076,Sweets - Frequent consumer
1012,Sweets - Frequent consumer
6518,Sweets - Frequent consumer
4137,Sweets - Biggest consumer
8082,Sweets - Frequent consumer
1386,Non consumer
9369,Sweets - Frequent consumer
4477,Sweets - Biggest consumer
1357,Sweets - Frequent consumer
1402,Sweets - Biggest consumer
6312,Sweets - Frequent consumer
8132,Sweets - Frequent consumer
1050,Sweets - Frequent consumer
5846,Sweets - Low consumer
1859,Sweets - Frequent consumer
7503,Sweets - Biggest consumer
10401,Sweets - Low consumer
1618,Non consumer
3332,Sweets - Frequent consumer
2261,Non consumer
5346,Non consumer
4119,Sweets - Frequent consumer
535,Sweets - Biggest consumer
5268,Sweets - Low consumer
273,Non consumer
4452,Sweets - Low consumer
8504,Sweets - Biggest consumer
771,Non consumer
11178,Sweets - Low consumer
2230,Non consumer
7516,Sweets - Frequent consumer
7247,Non consumer
11100,Sweets - Low consumer
4646,Non consumer
3037,Sweets - Biggest consumer
1473,Sweets - Low consumer
1016,Non consumer
4518,Sweets - Biggest consumer
9370,Sweets - Frequent consumer
8908,Sweets - Frequent consumer
8373,Non consumer
7533,Sweets - Low consumer
2683,Sweets - Biggest consumer
3629,Sweets - Low consumer
10991,Sweets - Frequent consumer
5077,Sweets - Frequent consumer
7431,Sweets - Biggest consumer
3267,Non consumer
999,Sweets - Frequent consumer
9215,Non consumer
2286,Sweets - Low consumer
1592,Sweets - Biggest consumer
367,Sweets - Biggest consumer
5234,Sweets - Frequent consumer
9862,Sweets - Frequent consumer
9805,Sweets - Biggest consumer
6205,Sweets - Low consumer
8442,Sweets - Low consumer
7386,Sweets - Low consumer
7215,Sweets - Biggest consumer
1491,Sweets - Frequent consumer
11071,Non consumer
3381,Non consumer
11051,Sweets - Frequent consumer
8026,Sweets - Biggest consumer
433,Sweets - Frequent consumer
9597,Sweets - Frequent consumer
5290,Non consumer
1685,Sweets - Frequent consumer
5342,Sweets - Frequent consumer
9579,Non consumer
7660,Sweets - Low consumer
1461,Sweets - Low consumer
821,Sweets - Biggest consumer
11084,Sweets - Frequent consumer
8690,Sweets - Frequent consumer
2937,Sweets - Frequent consumer
9701,Sweets - Frequent consumer
9949,Sweets - Frequent consumer
10837,Sweets - Frequent consumer
3120,Sweets - Low consumer
5885,Sweets - Low consumer
4050,Sweets - Frequent consumer
3830,Sweets - Frequent consumer
7987,Sweets - Frequent consumer
7798,Sweets - Frequent consumer
92,Sweets - Frequent consumer
7055,Non consumer
10240,Sweets - Frequent consumer
3025,Sweets - Frequent consumer
9283,Non consumer
9970,Sweets - Frequent consumer
2730,Sweets - Biggest consumer
2795,Non consumer
9260,Sweets - Frequent consumer
8182,Sweets - Low consumer
10095,Sweets - Frequent consumer
8475,Sweets - Low consumer
4370,Sweets - Low consumer
10573,Sweets - Frequent consumer
3712,Non consumer
6637,Sweets - Biggest consumer
3152,Sweets - Frequent consumer
5610,Sweets - Low consumer
6460,Sweets - Frequent consumer
1349,Sweets - Low consumer
1880,Non consumer
641,Non consumer
8717,Sweets - Biggest consumer
10314,Sweets - Biggest consumer
10854,Non consumer
10492,Non consumer
6935,Non consumer
7698,Sweets - Frequent consumer
3559,Sweets - Frequent consumer
10562,Sweets - Frequent consumer
10796,Non consumer
2563,Sweets - Frequent consumer
3518,Sweets - Low consumer
5823,Non consumer
3934,Sweets - Frequent consumer
6982,Sweets - Biggest consumer
6431,Non consumer
9733,Non consumer
5602,Sweets - Biggest consumer
7829,Sweets - Low consumer
1324,Sweets - Frequent consumer
326,Sweets - Frequent consumer
7224,Sweets - Low consumer
6999,Sweets - Frequent consumer
9938,Sweets - Biggest consumer
6422,Sweets - Frequent consumer
3182,Sweets - Low consumer
7300,Sweets - Low consumer
10424,Sweets - Frequent consumer
8727,Sweets - Biggest consumer
2798,Sweets - Biggest consumer
1030,Non consumer
624,Sweets - Low consumer
5176,Sweets - Frequent consumer
5552,Sweets - Frequent consumer
868,Non consumer
380,Sweets - Frequent consumer
2677,Sweets - Low consumer
6521,Sweets - Biggest consumer
6927,Non consumer
2877,Sweets - Frequent consumer
0,Sweets - Biggest consumer
1584,Sweets - Frequent consumer
7264,Non consumer
6274,Sweets - Biggest consumer
1377,Non consumer
454,Sweets - Frequent consumer
1755,Sweets - Low consumer
2075,Sweets - Frequent consumer
4785,Non consumer
9076,Sweets - Low consumer
7079,Sweets - Frequent consumer
4653,Sweets - Low consumer
7375,Sweets - Frequent consumer
709,Non consumer
460,Sweets - Biggest consumer
3726,Non consumer
6798,Sweets - Frequent consumer
5341,Sweets - Biggest consumer
1606,Sweets - Low consumer
9617,Non consumer
3233,Sweets - Frequent consumer
89,Sweets - Frequent consumer
2936,Non consumer
9449,Sweets - Frequent consumer
7297,Sweets - Frequent consumer
11004,Non consumer
313,Sweets - Biggest consumer
9940,Sweets - Biggest consumer
10735,Sweets - Low consumer
9529,Sweets - Frequent consumer
6439,Sweets - Frequent consumer
7411,Non consumer
2176,Non consumer
9265,Sweets - Frequent consumer
8867,Sweets - Frequent consumer
8932,Sweets - Biggest consumer
10236,Sweets - Low consumer
6340,Sweets - Low consumer
10089,Sweets - Biggest consumer
2227,Sweets - Frequent consumer
10992,Sweets - Frequent consumer
5304,Non consumer
309,Sweets - Frequent consumer
3406,Sweets - Frequent consumer
2661,Sweets - Frequent consumer
3153,Non consumer
10264,Sweets - Low consumer
1184,Non consumer
4200,Sweets - Frequent consumer
9396,Sweets - Low consumer
2387,Sweets - Low consumer
6690,Sweets - Low consumer
1225,Sweets - Biggest consumer
9703,Sweets - Low consumer
291,Sweets - Biggest consumer
4557,Sweets - Low consumer
2379,Sweets - Biggest consumer
5726,Sweets - Frequent consumer
3066,Sweets - Low consumer
6336,Sweets - Frequent consumer
10967,Sweets - Frequent consumer
2304,Sweets - Frequent consumer
3445,Sweets - Biggest consumer
7828,Sweets - Frequent consumer
3762,Sweets - Biggest consumer
4391,Sweets - Frequent consumer
4669,Sweets - Frequent consumer
10144,Sweets - Frequent consumer
8652,Sweets - Frequent consumer
1672,Sweets - Frequent consumer
8962,Non consumer
9974,Sweets - Frequent consumer
10983,Sweets - Biggest consumer
8148,Sweets - Biggest consumer
10102,Sweets - Biggest consumer
4697,Sweets - Low consumer
9262,Sweets - Frequent consumer
7254,Sweets - Frequent consumer
4543,Sweets - Frequent consumer
4927,Sweets - Low consumer
10451,Sweets - Low consumer
2926,Sweets - Frequent consumer
2874,Sweets - Low consumer
9738,Sweets - Low consumer
7119,Sweets - Biggest consumer
3924,Non consumer
5827,Sweets - Low consumer
5596,Non consumer
10812,Sweets - Low consumer
1717,Sweets - Frequent consumer
9491,Sweets - Low consumer
9274,Sweets - Biggest consumer
6609,Sweets - Frequent consumer
6963,Sweets - Biggest consumer
4440,Non consumer
1379,Sweets - Low consumer
10032,Sweets - Frequent consumer
2826,Non consumer
6320,Sweets - Frequent consumer
3050,Sweets - Low consumer
231,Non consumer
2392,Non consumer
9478,Sweets - Low consumer
113,Sweets - Low consumer
1802,Sweets - Frequent consumer
520,Sweets - Low consumer
8275,Non consumer
9750,Sweets - Frequent consumer
2607,Sweets - Frequent consumer
7214,Sweets - Biggest consumer
5835,Sweets - Low consumer
3896,Sweets - Low consumer
10350,Non consumer
7786,Sweets - Frequent consumer
2861,Non consumer
663,Non consumer
10675,Non consumer
2521,Sweets - Low consumer
9592,Non consumer
10151,Sweets - Biggest consumer
7381,Sweets - Biggest consumer
4099,Sweets - Low consumer
9560,Sweets - Frequent consumer
1150,Sweets - Biggest consumer
10172,Sweets - Biggest consumer
11191,Sweets - Low consumer
9707,Non consumer
6245,Sweets - Frequent consumer
8234,Sweets - Low consumer
1411,Sweets - Biggest consumer
8553,Non consumer
1826,Sweets - Biggest consumer
8842,Sweets - Low consumer
11030,Non consumer
2579,Sweets - Frequent consumer
175,Sweets - Biggest consumer
9185,Sweets - Frequent consumer
11056,Non consumer
9365,Non consumer
6201,Sweets - Low consumer
2061,Non consumer
6184,Sweets - Biggest consumer
6142,Non consumer
4107,Sweets - Frequent consumer
7274,Sweets - Biggest consumer
9336,Non consumer
2958,Sweets - Frequent consumer
933,Sweets - Low consumer
5837,Sweets - Frequent consumer
10704,Sweets - Frequent consumer
5125,Sweets - Frequent consumer
4432,Sweets - Frequent consumer
5955,Sweets - Biggest consumer
2928,Sweets - Frequent consumer
5680,Sweets - Frequent consumer
10313,Sweets - Low consumer
2557,Sweets - Low consumer
1245,Sweets - Frequent consumer
1519,Sweets - Low consumer
10703,Non consumer
1726,Sweets - Low consumer
4459,Sweets - Low consumer
1729,Sweets - Frequent consumer
1517,Sweets - Frequent consumer
2098,Non consumer
9543,Sweets - Low consumer
6878,Sweets - Frequent consumer
3310,Sweets - Low consumer
2724,Non consumer
948,Sweets - Low consumer
6720,Sweets - Low consumer
6202,Sweets - Biggest consumer
2066,Sweets - Frequent consumer
9799,Sweets - Frequent consumer
8318,Sweets - Biggest consumer
5642,Sweets - Frequent consumer
2669,Sweets - Biggest consumer
455,Sweets - Frequent consumer
7683,Sweets - Frequent consumer
3428,Sweets - Frequent consumer
7414,Sweets - Low consumer
6354,Sweets - Low consumer
798,Sweets - Frequent consumer
8213,Sweets - Frequent consumer
2488,Sweets - Frequent consumer
9999,Sweets - Frequent consumer
7617,Sweets - Frequent consumer
615,Sweets - Frequent consumer
2552,Non consumer
194,Sweets - Low consumer
3645,Sweets - Frequent consumer
8890,Sweets - Frequent consumer
5049,Sweets - Low consumer
9973,Sweets - Frequent consumer
7301,Sweets - Frequent consumer
10882,Sweets - Biggest consumer
7030,Sweets - Frequent consumer
7422,Sweets - Biggest consumer
3523,Sweets - Frequent consumer
7106,Non consumer
6504,Sweets - Frequent consumer
5067,Sweets - Frequent consumer
4216,Sweets - Biggest consumer
8581,Non consumer
5929,Sweets - Low consumer
3129,Sweets - Frequent consumer
6528,Sweets - Low consumer
1361,Sweets - Biggest consumer
6932,Non consumer
7284,Non consumer
1340,Sweets - Biggest consumer
8746,Sweets - Frequent consumer
5987,Sweets - Frequent consumer
3767,Sweets - Biggest consumer
3725,Sweets - Frequent consumer
4324,Sweets - Low consumer
238,Sweets - Biggest consumer
6694,Sweets - Frequent consumer
498,Sweets - Low consumer
9347,Non consumer
9699,Sweets - Frequent consumer
10664,Non consumer
5455,Sweets - Low consumer
456,Sweets - Frequent consumer
5012,Non consumer
7495,Non consumer
5029,Sweets - Low consumer
10642,Sweets - Low consumer
2106,Sweets - Frequent consumer
10364,Sweets - Frequent consumer
5954,Sweets - Frequent consumer
1137,Sweets - Biggest consumer
2541,Non consumer
1142,Sweets - Biggest consumer
2276,Sweets - Frequent consumer
2807,Sweets - Biggest consumer
6471,Sweets - Low consumer
6131,Sweets - Frequent consumer
6233,Sweets - Biggest consumer
4148,Sweets - Low consumer
4947,Sweets - Biggest consumer
3225,Sweets - Frequent consumer
7540,Sweets - Frequent consumer
10648,Sweets - Biggest consumer
1992,Sweets - Frequent consumer
7851,Sweets - Biggest consumer
8594,Sweets - Low consumer
7059,Sweets - Biggest consumer
2815,Sweets - Frequent consumer
2416,Sweets - Frequent consumer
7999,Sweets - Frequent consumer
9213,Non consumer
9697,Sweets - Frequent consumer
3916,Sweets - Frequent consumer
2021,Sweets - Biggest consumer
1581,Sweets - Low consumer
564,Sweets - Frequent consumer
6619,Non consumer
9081,Sweets - Low consumer
178,Sweets - Biggest consumer
916,Non consumer
5512,Sweets - Low consumer
8970,Non consumer
10581,Non consumer
5300,Sweets - Low consumer
5154,Sweets - Frequent consumer
8346,Sweets - Frequent consumer
1676,Sweets - Low consumer
9286,Sweets - Biggest consumer
2426,Sweets - Frequent consumer
5172,Sweets - Frequent consumer
5562,Sweets - Frequent consumer
3436,Sweets - Low consumer
3921,Sweets - Frequent consumer
3403,Sweets - Biggest consumer
22,Sweets - Frequent consumer
10965,Sweets - Biggest consumer
9426,Non consumer
6605,Non consumer
3136,Sweets - Frequent consumer
8737,Non consumer
11088,Sweets - Frequent consumer
716,Sweets - Frequent consumer
466,Sweets - Frequent consumer
9135,Non consumer
10623,Non consumer
8151,Sweets - Biggest consumer
5140,Sweets - Frequent consumer
10160,Non consumer
4945,Sweets - Frequent consumer
10584,Sweets - Frequent consumer
6071,Sweets - Frequent consumer
3386,Sweets - Frequent consumer
8939,Sweets - Frequent consumer
9925,Sweets - Low consumer
4320,Sweets - Biggest consumer
5389,Sweets - Frequent consumer
6036,Sweets - Biggest consumer
182,Sweets - Frequent consumer
203,Sweets - Biggest consumer
11025,Sweets - Low consumer
10203,Sweets - Low consumer
4607,Sweets - Frequent consumer
3711,Sweets - Frequent consumer
3696,Non consumer
2532,Sweets - Frequent consumer
9214,Sweets - Frequent consumer
4943,Sweets - Frequent consumer
35,Sweets - Frequent consumer
2258,Sweets - Frequent consumer
4322,Sweets - Frequent consumer
713,Sweets - Frequent consumer
4702,Sweets - Frequent consumer
3281,Sweets - Frequent consumer
702,Sweets - Biggest consumer
2004,Sweets - Biggest consumer
4769,Non consumer
4437,Sweets - Frequent consumer
8724,Sweets - Low consumer
10741,Non consumer
1991,Non consumer
6931,Sweets - Biggest consumer
11096,Sweets - Biggest consumer
304,Sweets - Frequent consumer
3665,Sweets - Low consumer
10591,Sweets - Frequent consumer
5036,Sweets - Low consumer
5547,Sweets - Frequent consumer
7822,Sweets - Biggest consumer
8541,Sweets - Frequent consumer
10955,Sweets - Biggest consumer
4368,Sweets - Frequent consumer
9671,Sweets - Low consumer
2256,Non consumer
4279,Sweets - Low consumer
5371,Non consumer
9240,Sweets - Low consumer
9460,Sweets - Frequent consumer
9504,Sweets - Biggest consumer
8692,Sweets - Frequent consumer
448,Sweets - Biggest consumer
8314,Sweets - Biggest consumer
8420,Sweets - Frequent consumer
3174,Sweets - Biggest consumer
7685,Sweets - Frequent consumer
3179,Sweets - Biggest consumer
9780,Non consumer
10681,Sweets - Biggest consumer
10232,Sweets - Frequent consumer
4184,Sweets - Low consumer
9120,Sweets - Frequent consumer
891,Non consumer
10381,Non consumer
3525,Non consumer
6818,Sweets - Frequent consumer
3526,Non consumer
8181,Sweets - Frequent consumer
1029,Sweets - Frequent consumer
7369,Non consumer
2574,Non consumer
8159,Non consumer
1160,Sweets - Low consumer
10242,Non consumer
5253,Sweets - Low consumer
5966,Non consumer
5314,Sweets - Frequent consumer
5081,Sweets - Frequent consumer
5123,Sweets - Frequent consumer
5756,Non consumer
8036,Sweets - Low consumer
9058,Non consumer
5057,Sweets - Biggest consumer
254,Sweets - Low consumer
4179,Sweets - Frequent consumer
3710,Sweets - Low consumer
7627,Sweets - Biggest consumer
4501,Sweets - Biggest consumer
6424,Sweets - Low consumer
3075,Sweets - Frequent consumer
4992,Sweets - Frequent consumer
5252,Sweets - Low consumer
7444,Non consumer
6919,Sweets - Frequent consumer
3537,Sweets - Frequent consumer
10277,Non consumer
2453,Sweets - Frequent consumer
7972,Sweets - Biggest consumer
895,Sweets - Frequent consumer
1177,Sweets - Low consumer
7141,Sweets - Low consumer
7232,Non consumer
8477,Sweets - Frequent consumer
2457,Sweets - Low consumer
988,Sweets - Frequent consumer
7930,Sweets - Frequent consumer
4587,Non consumer
6682,Sweets - Frequent consumer
6222,Non consumer
10299,Sweets - Biggest consumer
3083,Sweets - Frequent consumer
8953,Non consumer
1503,Sweets - Low consumer
8650,Sweets - Frequent consumer
10862,Sweets - Frequent consumer
2782,Non consumer
6941,Sweets - Frequent consumer
10972,Sweets - Frequent consumer
10708,Sweets - Low consumer
6583,Sweets - Frequent consumer
3641,Sweets - Low consumer
10156,Sweets - Frequent consumer
4299,Sweets - Biggest consumer
3469,Sweets - Low consumer
5063,Sweets - Low consumer
10727,Sweets - Frequent consumer
9624,Sweets - Frequent consumer
5156,Sweets - Biggest consumer
4376,Sweets - Low consumer
8923,Sweets - Biggest consumer
8461,Non consumer
6945,Sweets - Biggest consumer
944,Sweets - Frequent consumer
1907,Sweets - Frequent consumer
701,Sweets - Frequent consumer
3856,Sweets - Biggest consumer
4149,Non consumer
2131,Sweets - Frequent consumer
2942,Sweets - Low consumer
1173,Sweets - Frequent consumer
4381,Sweets - Frequent consumer
4611,Sweets - Frequent consumer
3376,Sweets - Low consumer
4679,Sweets - Biggest consumer
10928,Sweets - Frequent consumer
4248,Sweets - Biggest consumer
6728,Sweets - Low consumer
6661,Sweets - Biggest consumer
4725,Sweets - Low consumer
3277,Non consumer
5555,Sweets - Low consumer
2564,Sweets - Frequent consumer
946,Sweets - Frequent consumer
3867,Sweets - Biggest consumer
6940,Sweets - Low consumer
55,Sweets - Frequent consumer
7093,Sweets - Low consumer
5084,Sweets - Biggest consumer
1777,Sweets - Frequent consumer
8162,Sweets - Low consumer
10826,Sweets - Low consumer
8754,Non consumer
1987,Sweets - Low consumer
11007,Non consumer
7426,Sweets - Frequent consumer
9153,Sweets - Biggest consumer
10379,Sweets - Frequent consumer
9204,Sweets - Biggest consumer
3197,Sweets - Biggest consumer
2920,Sweets - Frequent consumer
6961,Sweets - Low consumer
4673,Sweets - Frequent consumer
9937,Sweets - Frequent consumer
8779,Sweets - Low consumer
9596,Sweets - Biggest consumer
2891,Sweets - Frequent consumer
4910,Sweets - Biggest consumer
75,Sweets - Biggest consumer
10120,Sweets - Frequent consumer
6327,Sweets - Frequent consumer
10142,Sweets - Biggest consumer
9826,Sweets - Biggest consumer
1501,Sweets - Low consumer
10767,Sweets - Frequent consumer
7279,Sweets - Frequent consumer
7230,Non consumer
143,Sweets - Biggest consumer
450,Sweets - Frequent consumer
9316,Sweets - Frequent consumer
6379,Sweets - Low consumer
9239,Sweets - Low consumer
8315,Non consumer
2868,Sweets - Low consumer
10888,Sweets - Biggest consumer
1277,Sweets - Frequent consumer
9977,Sweets - Frequent consumer
10196,Sweets - Biggest consumer
6384,Sweets - Frequent consumer
8029,Sweets - Frequent consumer
968,Sweets - Frequent consumer
6988,Sweets - Biggest consumer
4472,Sweets - Low consumer
6991,Sweets - Frequent consumer
3336,Non consumer
4301,Sweets - Low consumer
1940,Sweets - Low consumer
1272,Non consumer
1388,Sweets - Frequent consumer
1044,Sweets - Frequent consumer
6969,Sweets - Frequent consumer
10479,Sweets - Biggest consumer
3619,Sweets - Biggest consumer
1715,Sweets - Frequent consumer
10159,Sweets - Biggest consumer
1463,Non consumer
5114,Sweets - Frequent consumer
4990,Sweets - Frequent consumer
4329,Sweets - Low consumer
10936,Sweets - Biggest consumer
4692,Sweets - Frequent consumer
7212,Non consumer
6086,Sweets - Biggest consumer
437,Sweets - Biggest consumer
11171,Sweets - Low consumer
11101,Sweets - Frequent consumer
5329,Non consumer
610,Non consumer
9384,Sweets - Frequent consumer
5956,Sweets - Low consumer
10430,Sweets - Frequent consumer
7875,Sweets - Biggest consumer
7072,Sweets - Biggest consumer
6255,Sweets - Frequent consumer
6516,Sweets - Low consumer
5564,Sweets - Frequent consumer
5682,Sweets - Frequent consumer
7458,Sweets - Low consumer
5237,Non consumer
7761,Sweets - Frequent consumer
5278,Sweets - Frequent consumer
3560,Sweets - Frequent consumer
7235,Sweets - Frequent consumer
10548,Sweets - Biggest consumer
2281,Sweets - Low consumer
4073,Sweets - Frequent consumer
